Sentence,Person,True_sentiment
There's nothing to tell! He's just some guy I work with!,Monica,Neutral
All right Joey be nice So does he have a hump? A hump and a hairpiece?,Chandler,Neutral
Just 'cause I don't want her to go through what I went through with Carl oh!,Phoebe,Positive
All of a sudden the phone starts to ring Now I don't know what to do everybody starts looking at me,Chandler,Neutral
Finally I figure I'd better answer it and it turns out it's my mother which is veryvery weird because she never calls me!,Chandler,Negative
I just feel like someone reached down my throat grabbed my small intestine pulled it out of my mouth and tied it around my neck,Ross,Negative
Ooh! Oh! She starts to pluck at the air just in front of Ross,Phoebe,Neutral
Sometimes I wish I was a lesbian They all stare at him Did I say that out loud?,Chandler,Neutral
Oh really so that hysterical phone call I got from a woman at sobbing,Monica,Negative
Alright Ross look You're feeling a lot of pain right now You're angry You're hurting Can I tell you what the answer is?,Joey,Negative
And I just want a million dollars! He extends his hand hopefully,Chandler,Neutral
Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are you are!,Rachel,Positive
Decaff Okay everybody this is Rachel another Lincoln High survivor This is everybody this is Chandler and Phoebe and Joey and you remember my brother Ross?,Monica,Neutral
So you wanna tell us now or are we waiting for four wet bridesmaids?,Monica,Neutral
Now I'm guessing that he bought her the big pipe organ and she's really not happy about it,Monica,Negative
Well I guess we've established who's staying here with Monica,Monica,Neutral
Just breathe breathe that's it Just try to think of nice calm things,Monica,Positive
Okay look this is probably for the best y'know? Independence Taking control of your life The whole 'hat' thing,Monica,Positive
Joey stop hitting on her! It's her wedding day!,Monica,Negative
Please don't do that again it's a horrible sound,Chandler,Negative
Hi come in! Paul this is They are all lined up next to the door everybody everybody this is Paul,Monica,Neutral
I'm sorry I didn't catch your name Paul was it?,Chandler,Neutral
Ooh I just pulled out four eyelashes That can't be good,Phoebe,Negative
Well I was kinda supposed to be headed for Aruba on my honeymoon so nothing!,Rachel,Negative
Heyheyheyhey if you're gonna start with that stuff we're outta here,Joey,Negative
Ross let me ask you a question She got the furniture the stereo the good TV what did you get?,Joey,Neutral
I know I know I'm such an idiot I guess I should have caught on when she started going to the dentist four and five times a week I mean how clean can teeth get?,Paul,Negative
Well you might try accidentally breaking something valuable of hers say her,Paul,Negative
Barry I'm sorry I am so sorry I know you probably think that this is all about what I said the other day about you making love with your socks on but it isn't it isn't it's about me and I ju She stops talking and dials the phone Hi machine cut me off again anywaylook look I know that some girl is going to be incredibly lucky to become Mrs Barry Finkel but it isn't me it's not me And not that I have any idea who me is right now but you just have to give me a chance too,Rachel,Negative
You know what the scariest part is? What if there's only one woman for everybody y'know? I mean what if you get one woman and that's it? Unfortunately in my case there was only one woman for her,Ross,Negative
No it's it's more of a fifth date kinda revelation,Paul,Neutral
Well everev ever since she left me um I haven't been able to uh perform Sexually,Paul,Negative
So you still think you um might want that fifth date?,Paul,Neutral
Grab a spoon Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy don't be a hero' mean anything to you?,Ross,Neutral
Y'know here's the thing Even if I could get it together enough to to ask a woman out who am I gonna ask? He gazes out of the window,Ross,Negative
Y'know I figure if I can make coffee there isn't anything I can't do,Rachel,Positive
Listen while you're on a roll if you feel like you gotta make like a Western omelet or something Joey and Chandler taste the coffee grimace and pour it into a plant pot Although actually I'm really not that hungry,Joey,Neutral
No I'm telling you last night was like umm all my birthdays both graduations plus the barn raising scene in Witness,Paul,Positive
All right kids I gotta get to work If I don't input those numbers it doesn't make much of a difference,Chandler,Neutral
Yeah we all have jobs See that's how we buy stuff,Monica,Neutral
Oh wait wait unless you happened to catch the Reruns' production of Pinocchio at the little theater in the park,Monica,Neutral
"You're right I'm sorry Burst into song and dances out of the door ""Once I was a wooden boy a little wooden boy""",Chandler,Positive
So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling,Monica,Positive
I know he's just so so Do you remember you and Tony DeMarco?,Monica,Neutral
I think we are getting a little ahead of selves here Okay Okay I am just going to get up go to work and not think about him all day Or else I'm just gonna get up and go to work,Monica,Neutral
Oh I hate you I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?,Frannie,Negative
Are you kidding? I take credit for Paul Y'know before me there was no snap in his turtle for two years,Frannie,Positive
Why?! Why? Why why would anybody do something like that?,Monica,Negative
Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,Monica,Negative
Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today,Rachel,Negative
You would be too if you found John and David boots on sale fifty percent off!,Rachel,Neutral
They're my new 'I don't need a job I don't need my parents I've got great boots' boots!,Rachel,Positive
C'mon you can't live off your parents your whole life,Monica,Neutral
Give her a break it's hard being on your own for the first time,Phoebe,Positive
You're welcome I remember when I first came to this city I was fourteen My mom had just killed herself and my stepdad was back in prison and I got here and I didn't know anybody And I ended up living with this albino guy who was like cleaning windshields outside port authority and then he killed himself and then I found aromatherapy So believe me I know exactly how you feel,Phoebe,Negative
Come on you made coffee! You can do anything! Chandler slowly tries to hide the now dead plant from that morning when he and Joey poured their coffee into it,Ross,Positive
Welcome to the real world! It sucks You're gonna love it!,Monica,Neutral
That's Paul's watch You just put it back where you found it Oh boy Alright Goodnight everybody Ross and,Monica,Neutral
Okay You know you probably didn't know this but back in high school I had a um major crush on you,Ross,Positive
You did! Oh I always figured you just thought I was Monica's geeky older brother,Ross,Neutral
Oh Listen do you think and try not to let my intense vulnerability become any kind of a factor here but do you think it would be okay if I asked you out? Sometime? Maybe?,Ross,Positive
I just grabbed a spoon Ross exits and Monica has no idea what that means,Ross,Neutral
I said that you had a nice butt it's just not a great butt,Monica,Negative
Everything you need to know is in that first kiss,Rachel,Neutral
Yeah I think for us kissing is pretty much like an opening act y'know? I mean it's like the standup comedian you have to sit through before Pink Floyd comes out,Chandler,Neutral
The problem is though after the concert's over no matter how great the show was you girls are always looking for the comedian again y'know? I mean we're in the car we're fighting traffic basically just trying to stay awake,Chandler,Negative
He's out banging other women over the head with a club while she sits at home trying to get the mastodon smell out of the carpet!,Marsha,Negative
Ah well in here anyone who stands erect So what's new? Still uh,Ross,Neutral
Well you never know How's um how's the family?,Ross,Neutral
Oh uh that would be mine See I wrote a note to myself and then I realised I didn't need it so I balled it up and now I wish I was dead,Chandler,Negative
Look I'm sorry guys I just don't wanna give them any more ammunition than they already have,Monica,Neutral
Monica Hi! Um Monica you're scaring me I mean you're like you're like all chaotic and twirly And notnot in a good way,Phoebe,Negative
That's because as far as my parents are concerned Ross can do no wrong Y'see he's the Prince Apparently they had some big ceremony before I was born,Monica,Neutral
Easy Rach we'll find it Won't we! Chandler and,Monica,Neutral
I gave you one job! Starts to examin the lasagne through the bottom of the glass pan,Monica,Negative
Now Monica you know that's not how you look for an engagement ring in a lasagne,Chandler,Neutral
Kinda puts that whole pillow thing in perspective huh Mon?,Chandler,Neutral
Well Carol says she and Susan want me to be involved but if I'm not comfortable with it I don't have to be involved basically it's entirely up to me,Ross,Neutral
Anyway they want me to go down to this sonogram thing with them tomorrow,Ross,Neutral
I have no idea No matter what I do though I'm still gonna be a father,Ross,Positive
Oh Martha Ludwin's daughter is gonna call you Mmm! What's that curry taste?,Mrs Geller,Neutral
Do you remember the Ludwins? The big one had a thing for you didn't she? Mrs,Mr Geller,Neutral
Oh she just graduated and she wants to be something in cooking or food or I don't know Anyway I told her you had a restaurant,Mrs Geller,Neutral
Well they don't have to know that She starts to fluff the same pillow Monica fluffed multiple times earlier,Mrs Geller,Neutral
I know this is going to sound unbelievably selfish but were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me Mrs,Monica,Negative
I'm not gonna tell you what they spent on that wedding but forty thousand dollars is a lot of money! Mrs,Mr Geller,Neutral
Look there are people like Ross who need to shoot for the stars with his museum and his papers getting published Other people are satisfied with staying where they are I'm telling you these are the people who never get cancer Mr,Mr Geller,Neutral
So Ross what's going on with you? Any stories? No news no little anecdotes to share with the folks?,Monica,Neutral
Well y'know these people are pros They know what they're doing they take their time they get the job done,Ross,Positive
All right you guys I kinda gotta clean up now They all start to leave,Rachel,Neutral
Well no although I did have an imaginary friend who my parents actually preferred,Chandler,Neutral
So got any advice? Y'know as someone who's recently been dumped?,Rachel,Neutral
Oh you've got Carol tomorrow When did it get so complicated?,Rachel,Neutral
Remember when we were in high school together?,Rachel,Neutral
I mean didn't you think you were just gonna meet somone fall in love and that'd be it? Ross?,Rachel,Negative
Sorry I'm late I was stuck at work There was this big dinosaur thing anyway,Ross,Neutral
Yeah! It's fine it's fine Robbie's gonna be here for hours,Barry,Positive
'S'funny um uh we agreed we'd spend the rest of our lives together Things change roll with the punches I believe Julia's on the table?,Ross,Neutral
And you've got lenses! But you hate sticking your finger in your eye!,Rachel,Neutral
Anyway um I guess this belongs to you And thank you for giving it to me,Rachel,Positive
Well wait a minute wha why is she in the title?,Ross,Neutral
Oh 's'funny really? Um I don't remember you making any sperm,Ross,Negative
Ross You're not actually suggesting Helen WillickBunchGeller? 'Cause I think that borders on child abuse,Carol,Negative
Oh no nonononono you see what he's doing? He knows noone's gonna say all those names so they'll wind up calling her Geller then he gets his way!,Susan,Negative
Well I was just wondering about the mothertobe but thanks for sharing Uh lie back,Dr Oberman,Neutral
I dunno but I think it's about to attack the Enterprise,Chandler,Neutral
Hi Mindy Hi itit's Rachel Yeah I'm fine II saw Barry today Oh yeah yeah hehe told me No no it's okay I hope you two are very happy I really do Oh oh and Mind y'know ifif everything works out and you guys end up getting married and having kids and everything I just hope they have his old hairline and your old nose Okay I know it was a cheap shot but I feel so much better now,Rachel,Negative
Um not so good He walked me to the subway and said 'We should do this again!',Phoebe,Neutral
What? He said 'we should do it again' that's good right?,Rachel,Neutral
Or 'You're such a nice guy' means 'I'm gonna be dating leatherwearing alcoholics and complaining about them to you',Chandler,Negative
Yeah it's like when you're a kid and your parents put your dog to sleep and they tell you it went off to live on some farm,Chandler,Negative
"""Warden in five minutes my pain will be over But you'll have to live with the knowledge that you sent an honest man to die""",Joey,Negative
"""I just wanna go back to my cell 'Cause in my cell I can smoke""",Joey,Neutral
Don't think of it as a cigarette Think of it as the thing that's been missing from your hand When you're holding it you feel right You feel complete,Chandler,Positive
Nah not so much Alright now we smoke Oh my God,Chandler,Neutral
Alright don't tell me don't tell me! Decaf cappucino for Joey Coffee black Late And an iced tea I'm getting pretty good at this!,Rachel,Positive
Yeah but if you spent it it would be like shopping!,Rachel,Neutral
Oh I can't believe you! You've been so good for three years!,Phoebe,Positive
Hold on a second alright? Just think about what you went through the last time you quit,Ross,Neutral
What are you talking about? We love Schhteve! Schhteve was schhexy! Sorry,Chandler,Positive
I mean why should I let them meet him? I mean I bring a guy home and within five minutes they're all over him I mean they're like coyotes picking off the weak members of the herd,Monica,Negative
I know I just wish that once I'd bring a guy home that they actually liked,Monica,Negative
Okay please be good please Just remember how much you all like me,Monica,Neutral
From the nursery rhyme 'There was a crooked man Who had a crooked smile Who lived in a shoe For a while',Phoebe,Neutral
What future boyfriends? Nono I th I think this could be y'know it,Rachel,Neutral
Oh yeah I'd marry him just for his David Hasselhof impression alone You know I'm gonna be doing that at parties right?,Chandler,Positive
I mean itit was like it was like he made us into a team,Rachel,Neutral
Can I ask you guys a question? D'you ever think that Alan is maybe sometimes,Monica,Neutral
Yeah it's his uh innate Alanness thatthatthat we adore,Ross,Positive
"Yes But I left in the Ys 'Cause y'know ""sometimes y"" Uh I also have something else for you",Phoebe,Neutral
No but would you like a thousand dollars and a football phone?,Phoebe,Neutral
Okay alright you buy me a soda and then we're even Okay?,Phoebe,Neutral
Well maybe it's a contest y'know? Like collect all five?,Chandler,Neutral
Well is it like a little annoying or is it like when Phoebe chews her hair?,Joey,Neutral
"""Indeed there isn't"" I should really get back to work",Rachel,Neutral
Ohhhohooohhh The hair comes out and the gloves come on,Rachel,Neutral
Waitwait we talking about the coyotes here? All right a cow got through!,Paula,Neutral
Honey you should always feel the thing Listen if that's how you feel about the guy Monica dump him!,Paula,Neutral
Hey y'know I have had it with you guys and your cancer and your emphysema and your heart disease The bottom line is smoking is cool and you know it,Chandler,Negative
Really? He does? Hey buddy what's up! Oh she told you about that huh Well yeah I have one now and then Well yeah now Well it's not that big well that's true Gee y'know noone noone's ever put it like that before Well okay thanks!,Chandler,Neutral
Ooh Lambchop How old is that sock? If I had a sock on my hand for thirty years it'd be talking too,Chandler,Neutral
Hey Pheebs you gonna have the rest of that PopTart? Pheebs?,Ross,Neutral
Even nicer when everyone gets to wear their underwear,Joey,Neutral
You know you let your guard down you start to really care about someone and I just I,Phoebe,Negative
Whowho wants fair? Y'know I just want things back Y'know the way they were,Ross,Negative
I don't care I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!,Chandler,Negative
Okay okay If I were omnipotent for a day I would want um world peace no more hunger good things for the rainforestAnd bigger boobs!,Phoebe,Neutral
Uh if I were omnipotent for a day I'd make myself omnipotent forever,Chandler,Neutral
Hey if Little Joey's dead then I got no reason to live!,Joey,Negative
Well if you want you can stay with Rachel and me tonight,Monica,Positive
So I'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?,Ross,Neutral
Oh my God oh is today the twentieth October twentieth?,Ross,Neutral
Eleven days before Halloween all the good costumes are gone?,Chandler,Neutral
I remember the day I got my first pay check There was a cave in in one of the mines and eight people were killed,Phoebe,Negative
Oh my God! Rachel Leslie Kiki and Joanne all scream and hug each other,Rachel,Positive
Look at you in the apron You look like you're in a play,Joanne,Neutral
Well guess who my dad's making partner in his firm?,Joanne,Neutral
Leetch spots Messier in the crease there's the pass!,Joey,Neutral
Hey that woman's got an ass like Carol's! What? Thought we were trying to find stuff,Joey,Neutral
Well the biggest news is still you dumping Barry at the altar!,Kiki,Negative
I'm not! This is what I'm doing now I've got this job,Rachel,Neutral
Okay I'm not just waitressing I'm I um I write the specials on the specials board and uh and I uh I take the uh dead flowers out of the vase Oh and um sometimes Artelle lets me put the little chocolate blobbies on the cookies,Rachel,Neutral
Hey Rach How was it with your friends? Okay! How would you like some Tiki Death Punch? She pours the contents of the blender into some glasses,Monica,Positive
We thought since Phoebe was staying over tonight we'd have kinda like a slumber party thing We got some trashy magazines we got cookie dough we got Twister,Monica,Positive
Could you please tell me what this is in reference to? Yes hold on Um they say there's been some unusual activity on your account,Monica,Neutral
That is the unusual activity Look they just wanna see if you're okay,Monica,Neutral
Uh Rachel has left the building can you call back?,Monica,Neutral
No actually I was just saying it looks like we're not sitting together But now you mention it there was ice there that night It was the first frost,Ross,Neutral
You should feel great about yourself! You're doing this amazing independence thing!,Monica,Positive
Yeah right! See he gave up something but then he got those magic beans And then he woke up and there was this this big plant outside his window full of possibilities and stuff And he lived in a village and you live in the Village,Phoebe,Neutral
So what you're not the only one I mean half the time we don't know where we're going You've just gotta figure at some point it's all gonna come together and it's just gonna be unfloopy,Monica,Neutral
Okay but Monica what if what if it doesn't come together?,Rachel,Negative
Oh well 'cause you just I don't like this question,Phoebe,Negative
Get him! GET HIM! Get him! Get YESSS! Not laughing now are ya pal!,Ross,Negative
holds up her hand—she is on the phone It says to call this number if you're not completely satisfied with this candy bar Well I'm not completely satisfied,Receptionist,Negative
I'm so sorry you guys I didn't mean to bring you down,Rachel,Negative
Wait you're not 'GStephanopoulos?' Man my dad's gonna kill me!,Pizza Guy,Negative
Yeah This one goes across the street I must have given him yours Oh bonehead bonehead!,Pizza Guy,Negative
Are you nuts?! We've got George Stephanopoulos' pizza! Rachel pays him Monica grabs some binoculars and runs to the window,Monica,Neutral
Oh I wanna see! Lemme see! Lemme see! She runs up and takes the binoculars,Phoebe,Positive
White House adviser? Clinton's campaign guy? The one with the great hair sexy smile really cute butt?,Monica,Neutral
Oh wait she's walking across the floor she's walking she's walking she's going for the pizza Hey that's not for you bitch!,Phoebe,Negative
Yeah I think you have to draw him out And then when you do he's a preppy animal,Monica,Neutral
Yes the moon the glow the magical feeling you did this part Could I get some painkillers over here please?,Chandler,Neutral
Little louder okay I think there's a man on the twelfth floor in a coma that didn't quite hear you,Ross,Neutral
My first time with Carol was He mumbles the last part,Ross,Neutral
So in your whole life you've only been with one——oh,Chandler,Neutral
Okay Okay I got one Do you remember that vegetarian pate that I made that you loved so much?,Monica,Positive
Really Well at least 'big girls' don't pee in their pants in seventh grade!,Monica,Negative
Man Can you believe he's only had sex with one woman?,Joey,Neutral
Fun? Where was the fun? Tell me specifically which part was the fun part? Where's my puck?,Ross,Negative
Nooo! She grabs the phone and Chandler takes her place on the mat Hello? Oh yeah no I know II haven't been using it much Oh well thanks but I'm okay really,Rachel,Neutral
Not that big a deal? It's amazing Ok you just reach in there there's one little maneuver and bam a bra right out the sleeve All right as far as I'm concerned there is nothing a guy can do that even comes close Am I right?,Ross,Positive
Oh ok you know what I don't get? The way guys can do so many mean things and then not even care,Phoebe,Negative
So Saturday night the big night date night Saturday night Saturday night!,Chandler,Positive
No I know but it's just so hard you know? I mean you're sitting there with her she has no idea what's happening and then you finally get up the courage to do it and there's the horrible awkward moment when you've handed her the note,Chandler,Negative
No I mean you break up with Janice and I'll break up with Tony,Phoebe,Neutral
"Oh yeah yeah Actually I got the extended disco version with three choruses of ""You'll never make it on your own""",Rachel,Neutral
Wow being dumped by you obviously agrees with her,Monica,Negative
No yeah no ok but not yet I don't wanna seem too eager One Mississippi two Mississippi three Mississippi That seems pretty cool he walks over to her Hey Angela,Joey,Neutral
Oh big glamour night Me and Monica at Laundorama,Rachel,Neutral
Don't you have a laundry room in your building?,Rachel,Neutral
Come on we were great together And not just at the fun stuff but like talking too,Joey,Positive
Fine fine so why don't the four of us go out and have dinner together tonight? You know as friends?,Joey,Positive
You know you and Bob and me and my girlfriend uh uh Monica,Joey,Neutral
Forget it Not after your cousin who could belch the alphabet,Monica,Neutral
What's going on here? You go out with tons of girls,Monica,Neutral
Ok bye Well Monica's not coming it's just gonna be me and Rachel,Ross,Neutral
So what're you saying here? I should shave again pick up some wine what?,Ross,Neutral
Ok ok now what is wrong with my Snuggles? What it says I'm a sensitive warm kinda guy you know like a warm fuzzy bear Ok I can pick something else up on the way,Ross,Neutral
Thank you So what does this Bob guy look like? Is he tall? Short?,Monica,Neutral
Oh my god Joey for all we know this guy could be horribly,Monica,Neutral
This is nice We never do anything just the two of us,Phoebe,Positive
Oh my god I am so glad you called me I had the most supremely awful day,Janice,Negative
Hi uh nothing That horrible woman just took my machine,Rachel,Negative
Uh well don't worry I'll use the gentle cycle Ok um basically you wanna use one machine for all your whites a whole nother machine for colors and a third for your uh your uh delicates and that would be your bras and your underpanty things,Ross,Neutral
You're a lucky man You know what I miss the most about her? That cute nibbly noise when she eats Like a happy little squirrel or a weasel,Joey,Neutral
Yeah but it's not gonna last She's too much for me in bed Sexually,Joey,Negative
Janice Hi Janice Ok here we go I don't think we should go out anymore Janice,Chandler,Negative
Ok I know this is gonna sound really stupid but I feel that if I can do this you know if I can actually do my own laundry there isn't anything I can't do,Rachel,Positive
Except it didn't It happened to me Oh god I'm gonna look like a big marshmallow peep What am I doing? What am I doing? My father's right I can't live on my own! I can't even do laundry!,Rachel,Negative
Hello! Were we at the same table? It's like cocktails in Appalachia,Monica,Neutral
Joey this is sick it's disgusting it's it's—not really true is it?,Monica,Negative
Uh waiter one more plate of chicken wings over here,Joey,Neutral
Ow Um it's just my lens It's just my lens I'll be right back,Janice,Neutral
Chandler easy easy Go to your happy place La la la la la la la,Phoebe,Positive
You got the clothes clean Now that's the important part,Ross,Positive
I'm sorry you know maybe I wasn't being clear Uh this is our cart,Rachel,Neutral
All right listen missy If you want this cart you're gonna have to take me with it!,Rachel,Neutral
You were incredible! Brand new woman ladies and gentlemen,Ross,Positive
Ok um uh more clothes in the dryer? Ross turns and bangs his head on an open dryer door I'm fine I'm fine,Ross,Neutral
What a beautiful story Hey I'm fine by the way,Ross,Neutral
Ooh! Look! Look! Look! Look there's Joey's picture! This is so exciting!,Rachel,Positive
The exclamation point in the title scares me Y'know it's not just Freud it's Freud!,Phoebe,Neutral
There's a beautiful woman at eight nine ten o'clock!,Chandler,Neutral
She's amazing! She makes the women that I dream about look like short fat bald men!,Chandler,Positive
Oh yeah and what would my opening line be? 'Excuse me Blarrglarrghh',Chandler,Neutral
Oh please could she be more out of my league? Ross back me up here,Chandler,Negative
C'mon you guys it wasn't that bad It was better than that thing I did with the trolls at least you got to see my head,Joey,Neutral
She said yes!! She said yes!! Awful play man Whoah Her name's Aurora and she's Italian and she pronounces my name 'Chandlrr' 'Chandlrr' I think I like it better that way Oh listen the usher gave me this to give to you,Chandler,Positive
The Estelle Leonard Talent Agency Wow an agency left me its card! Maybe they wanna sign me!,Joey,Positive
No 'cause this line is passion and this is just a line,Phoebe,Neutral
Alright Once I got on the subway right and it was at night and I rode it all the way to Brooklyn just for the hell of it,Chandler,Neutral
Don't worry I imagine he'd be okay with you because really he's okay with Ethan,Aurora,Neutral
So explain something to me here uh what kind of a relationship do you imagine us having if you already have a husband and a boyfriend?,Chandler,Neutral
What 'not work out'? I'm seeing her again on Thursday Didn't you listen to the story?,Chandler,Neutral
Well y'know I had some trouble with it at first too but the way I look at it is I get all the good,Chandler,Neutral
When I'm with a woman I need to know that I'm going out with more people than she is,Joey,Neutral
Look! I cleaned! I did the windows I did the floors I even used all the attachments on the vacuum except that little round one with the bristles I don't know what that's for,Rachel,Positive
Yeah yeah it's interesting but y'know what? Just for fun let's see what it looked like in the old spot Alright just to compare Let's see Well it looks good there too Let's just leave it there for a while,Monica,Neutral
Thank God you didn't try to fan out the magazines I mean she'll scratch your eyes right out,Chandler,Neutral
Yeah you are Monica Remember when I lived with you? You were like a little y'know Ree! Ree! Ree! Ree!,Phoebe,Neutral
Oh c'mon! When we were kids yours was the only Raggedy Ann doll that wasn't raggedy!,Ross,Neutral
Alright you madcap gal Try to imagine this The phone bill arrives but you don't pay it right away,Ross,Neutral
Because you're a kook! Instead you wait until they send you a notice,Ross,Neutral
Okay uh you let me go grocery shopping and I buy laundry detergent but it's not the one with the easypour spout,Rachel,Neutral
Someone's left a glass on the coffee table There's no coaster It's a cold drink it's a hot day Little beads of condensation are inching their way closer and closer to the surface of the wood,Chandler,Neutral
Uh huh uh huh oh my God! Okay! Okay I'll be there! He hangs up and to all That was my agent My agent has just gotten me a jobin the new Al Pacino movie!,Joey,Positive
Oh no it's terrific it's it's y'know you deserve this after all your years of struggling you've finally been able to crack your way into showbusiness,Chandler,Positive
You're right you're right it isSo you gonna invite us all to the big opening?,Ross,Neutral
He's in the bathroom I don't think you wanna go in there!,Monica,Neutral
Oh that would be Monica Hey listen I wanna borrow a coupla things Aurora spent the night I really wanna make her breakfast,Chandler,Neutral
Yeah well I only have twenty minutes until Ethan so y'know He starts to raid the fridge,Chandler,Neutral
No no resentment believe me it's worth it 'Kay? Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life? Well every single second is like that with Aurora and I've just wasted about thirtyfive of them talking to you people so uh Monica can you help me with the door?,Chandler,Negative
Oh Well the way I see it the guy's upset here y'know? I mean his wife's dead his brother's missing I think his butt would be angry here,Joey,Neutral
I was going for quiet desperation But if you have to ask,Joey,Neutral
Why can't we just have what we have now? Why can't we just talk and laugh and make love without feeling obligated to one another and up until tonight I thought that's what you wanted too,Aurora,Positive
So which one of the two guys will you listen to?,Aurora,Neutral
Hey waitwait aren't you the guy that plays the butt in the new Al Pacino movie?,Monica,Neutral
Oh Joey you know what noone is gonna be able to tell,Rachel,Neutral
Doesn't matter I'll get 'em tomorrow Or not Whenever He goes to her room,Monica,Neutral
